complex_id,apt_name,sigungu,identity_status,join_status,full_pnus
cx_cb3010e39989454f,"upperhouse2",서초구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1165010100100120000"]
cx_cb3c35bd9aeb930f,"대성유니드1차",양천구,SINGLE_PARCEL,PNU_NOT_FOUND,["1147010100111980000"]
cx_cb6c10f32bafc72e,"아일랜드캐슬",용산구,SINGLE_PARCEL,PNU_NOT_FOUND,["1117013100106840000"]
cx_cb800e75d6dc50c5,"중앙아트",동작구,SINGLE_PARCEL,PNU_NOT_FOUND,["1159010700104280000"]
cx_cb87a85183cde806,"집앤사비키아파트",강동구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1174010800105450000"]
cx_cb9a0e7affd5825e,"현대아이파크",강서구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1150010100102820000"]
cx_cbb28d55b7783cf5,"더-위일이노펠리체",은평구,SINGLE_PARCEL,PNU_NOT_FOUND,["1138010800100850000"]
cx_cbd49e4578a52a8b,"주성아트빌",송파구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1171010800100610000"]
cx_cbe517ab20ca507b,"상지리츠빌6차",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010100108430000"]
cx_cbe77eccc0742447,"현대웰하임(101동)",강동구,SINGLE_PARCEL,PNU_NOT_FOUND,["1174010500103430000"]
cx_cbfcaebab48a62a4,"엘림퍼스트중곡동",광진구,SINGLE_PARCEL,PNU_NOT_FOUND,["1121510100101900000"]
cx_cbfda3f80160e327,"월드메르디앙102동",강남구,SINGLE_PARCEL,PNU_NOT_FOUND,["1168011800102000000"]
cx_cc0a98a6be5042b1,"연지프로빌",양천구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1147010200104050000"]
cx_cc0d69ddfb9797ca,"(751-5)",구로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1153010200107510000"]
cx_cc3814dc9190353d,"서초대림빌라트",서초구,SINGLE_PARCEL,PNU_NOT_FOUND,["1165010800115180000"]
cx_cc492d7a5a1ee84f,"장안푸르미에",동대문구,SINGLE_PARCEL,PNU_NOT_FOUND,["1123010600104660000"]
cx_cc68bee1d8a70b25,"삼성웰피아",강남구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1168010500101300000"]
cx_cc7bb48adc8e85e4,"골드스타",은평구,SINGLE_PARCEL,PNU_NOT_FOUND,["1138010400104560000"]
cx_cc7d917632d357a3,"관악",관악구,MULTI_RECORD_SAME_PARCEL,PNU_LOT_CONFLICT,["1162010200102440000"]
cx_cc8aec5135968680,"북한산삼부르네상스101동",서대문구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1141011800100080000"]
cx_cc8b58057c991f28,"풍림아이원4차(1007-2)",강남구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1168010600110070000"]
cx_cc94113c9ac2697e,"종로유케이201",종로구,SINGLE_PARCEL,PNU_NOT_FOUND,["1111017500102010000"]
cx_ccb516750249de14,"이스턴오피스텔",강남구,SINGLE_PARCEL,PNU_LOT_CONFLICT,["1168010100107350000"]
