complex_id,pnu,sido_code
cx_134fe1bc76a9d863,1219025023109520000,12
cx_1350bd0b111b4913,4825012500108060006,48
cx_135bc2e04f4eddbb,4420033021107220000,44
cx_136a933581714671,2820011000107550001,28
cx_137cc1831b5d1021,4717013600102710000,47
cx_1381dc88b1b34df6,2827511100101650007,28
cx_1386813795a1cc9e,3011010900102970000,30
cx_1396f624e297e41b,5211113200104450001,52
cx_13a4ed99e1bd1183,4825012500108020007,48
cx_13b202a0474a94b2,3011010700103140000,30
cx_13c718acb47f391f,2829010500110610001,28
cx_13d6cb97c71c7fb8,4311112100104360000,43
cx_13d723731b8563b6,4413325626100700000,44
cx_13de88f5fbcfe809,5211112400103450001,52
cx_13dfc9d28f0f45d9,1217013400105510000,12
cx_13e786b393e560da,4827010800104440001,48
cx_141752d336eaac0c,4812312800101020000,48
cx_142d5b2ab5d3b5bf,5123025030102250000,51
cx_14380e3dd8f11575,3023011000101350005,30
cx_145a6b4fd48ffe76,4831011300108850000,48
cx_14656d96a7e14e45,4833034022100170016,48
cx_14725c15ebf078c8,4812312700100450001,48
cx_147ad16fbcf042f6,5011013700102840005,50
cx_147d7303dc9f4c7c,5013010500112300001,50
cx_148d5c6e6e7d953a,1230013000106840000,12
cx_14a756824ebd4c5a,3114010800108780000,31
cx_14b071554ed8bdbe,4824032025105740000,48
cx_14b1fadccf684dfb,4713012400105570000,47
cx_14be41d959c76237,4413310300110070000,44
cx_14c6d6ab6b47e068,1230011000106330001,12
cx_14d621e1c2438103,1215011000105700000,12
cx_14d9abb1f5e9453e,4311311700100450004,43
cx_14eac1f324bbd161,4413310400113270000,44
cx_14f2bcee049845eb,4413111900103650003,44
cx_151d3e3411a76bd8,4711311800100160000,47
cx_153354f0fd32b2a2,1219025035117250000,12
cx_153ae9f8e51ffafd,3011011800104810000,30
cx_156726279bde853f,5218010100109180004,52
cx_156c6ad9726cf782,4825012500108030002,48
cx_1588b123abfe79f8,2626010800101520018,26
cx_15bd7fb6ab706569,5213014400101550005,52
cx_15c3500f34b7993d,4719025332108140001,47
cx_15c35c66e1bdcf48,4420033021107240000,44
cx_15d66938506dc40e,2818510600100230005,28
cx_15d81ab50fef209e,4827010800104550000,48
cx_15dc3e2b5f8d6cc4,3120010600107300000,31
cx_15e13cdc3f617dd2,5211112900109600005,52
cx_15e37364aa9b5fc5,3117010400106180000,31
cx_15ea1cbf5df86a12,1230011700100570000,12
cx_15f58f2580b8557e,3611011300101040000,36
cx_15f9c0965341c19a,1233010200108400001,12
cx_15f9e4d3fce4a7b1,5111012600105850001,51
cx_15fc270cecb2d433,5213013600107090000,52
cx_15fe453df687bccf,5221033029115960002,52
cx_160dce259f07821d,1215011800102700002,12
